Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-05-07,LT,CE,2950,2025-05-29th,0,0.00,173.95,17550,17550,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-05-06,GODREJPROP,PE,2200,2025-05-29th,0,0.00,155.00,15075,15075,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-05-05,ATGL,CE,620,2025-05-29th,0,0.00,58.90,22785,22785,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-05-02,LT,PE,1010,2025-05-29th,0,0.00,55.40,9349,9349,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-30,GODREJPROP,CE,2100,2025-05-29th,0,0.00,135.10,24638,24638,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-29,HAL,CE,4450,2025-05-29th,0,0.00,314.10,15150,15150,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-28,RBLBANK,CE,197.5,2025-05-29th,0,0.00,15.20,15000,15000,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-25,DLF,PE,680,2025-05-29th,0,0.00,43.35,20996,20996,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-24,LT,STOCK,,,0,0.00,,0,0,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-23,AUROPHARMA,CE,1200,2025-05-29th,0,0.00,91.25,6160,6160,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-22,COLPAL,CE,2600,2025-05-29th,0,0.00,128.95,14700,14700,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-21,HDFCAMC,CE,4200,2025-04-24th,0,0.00,255.35,23820,23820,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-17,JINDALSTEL,CE,840,2025-04-24th,0,0.00,43.50,15937,15937,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-16,ZYDUSLIFE,PE,880,2025-04-24th,0,0.00,60.55,33390,33390,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-15,LODHA,CE,1120,2025-04-24th,0,0.00,101.50,13050,13050,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-11,LT,CE,2800,2025-04-24th,0,0.00,177.20,15750,15750,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-09,LT,PE,2200,2025-04-24th,0,0.00,119.20,20955,20955,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-08,DELHIVERY,PE,270,2025-04-24th,0,0.00,25.50,36600,36600,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-04,AUROPHARMA,PE,1160,2025-04-24th,0,0.00,73.00,11000,11000,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-03,LT,PE,7400,2025-04-24th,0,0.00,407.10,14006,14006,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-02,TITAN,CE,3020,2025-04-24th,0,0.00,135.20,13659,13659,"Taken @ 13 Feb 2026, 4:12 PM",5
2025-04-01,LT,PE,1600,2025-04-24th,0,0.00,68.85,12338,12338,"Taken @ 13 Feb 2026, 4:12 PM",5
2026-03-28,LT,CE,5000,2025-04-24th,0,0.00,554.00,20550,20550,"Taken @ 13 Feb 2026, 4:12 PM",5
2026-03-26,LT,CE,215,2025-04-24th,0,0.00,5.90,-1375,-1375,"Taken @ 13 Feb 2026, 4:12 PM",5
2026-03-25,LT,PE,14500,2025-04-24th,0,0.00,1253.15,13052,13052,"Taken @ 13 Feb 2026, 4:12 PM",5
