Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-11-25,LUPIN,CE,2000,2025-12-30th,0,0.00,85.50,15087,15087,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-24,LT,PE,370,2025-12-30th,0,0.00,11.70,18900,18900,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-21,LT,PE,500,2025-11-25th,0,0.00,18.55,20500,20500,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-20,EICHERMOT,CE,7000,2025-11-25th,0,0.00,140.35,21455,21088,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-20,EICHERMOT,CE,1620,2025-11-25th,0,0.00,31.35,-368,21088,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-19,HCLTECH,CE,1620,2025-11-25th,350,-11.30,46.40,20195,20195,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-18,GLENMARK,PE,1840,2025-11-25th,0,0.00,27.00,21000,21000,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-17,HEROMOTOCO,CE,5600,2025-11-25th,0,0.00,237.85,18900,18900,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-14,LT,CE,1340,2025-11-25th,0,0.00,34.00,20400,20400,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-13,LT,CE,560,2025-11-25th,0,0.00,25.45,-4375,-4375,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-12,LT,CE,2460,2025-11-25th,0,0.00,70.30,19200,19200,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-10,LT,CE,3800,2025-11-25th,0,0.00,93.60,18250,18250,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-07,LT,CE,2340,2025-11-25th,0,0.00,88.50,18150,18150,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-06,LT,PE,1900,2025-11-25th,0,0.00,111.30,17843,17843,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-11-04,LT,CE,19500,2025-11-25th,0,0.00,1255.95,14875,14875,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-31,AUROPHARMA,CE,1100,2025-11-25th,0,0.00,64.55,18150,18150,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-30,BPCL,CE,350,2025-11-25th,0,0.00,13.50,14813,14813,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-29,ADANIGREEN,CE,1080,2025-11-25th,0,0.00,68.85,17400,17400,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-28,LT,PE,2500,2025-11-25th,0,0.00,151.15,22125,22125,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-27,LT,CE,230,2025-11-25th,0,0.00,8.90,20000,20000,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-24,LT,PE,57800,2025-10-28th,0,0.00,296.05,24153,24153,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-23,LT,CE,78,2025-10-28th,0,0.00,1.45,18550,18550,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-20,BANKINDIA,CE,128,2025-10-28th,0,0.00,3.20,26000,26000,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-17,LT,CE,1980,2025-10-28th,0,0.00,40.75,19950,19950,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-16,LT,CE,455,2025-10-28th,0,0.00,12.70,14862,14862,"Taken @ 13 Feb 2026, 4:12 PM",3
2025-10-15,LT,CE,1640,2025-10-28th,0,0.00,70.00,19260,19260,"Taken @ 13 Feb 2026, 4:12 PM",3
