Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2026-03-24,KOTAKBANK,CE,2080,2025-03-27th,0,0.00,97.90,13440,13440,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-21,LT,CE,2300,2025-03-27th,0,0.00,136.25,13915,13915,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-20,KEI,PE,3000,2025-03-27th,0,0.00,167.00,12075,12075,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-19,LT,CE,1100,2025-03-27th,0,0.00,106.05,14625,14625,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-18,LT,CE,2220,2025-03-27th,0,0.00,69.05,18710,18710,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-17,LT,CE,800,2025-03-27th,0,0.00,39.75,17595,17595,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-13,LT,PE,1080,2025-03-27th,0,0.00,50.60,12325,12325,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-11,LT,CE,1080,2025-03-27th,0,0.00,73.05,9675,9675,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-10,ADANIENSOL,CE,720,2025-03-27th,0,0.00,55.45,12000,12000,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-07,LT,CE,720,2025-03-27th,0,0.00,58.90,11250,11250,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-06,LT,CE,630,2025-03-27th,0,0.00,37.10,12090,12090,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-05,ADANIENSOL,CE,660,2025-03-27th,0,0.00,64.10,21188,21188,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-04,LT,CE,2800,2025-03-27th,0,0.00,124.00,13144,13144,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-03-03,LT,PE,2200,2025-03-27th,0,0.00,308.80,15650,15650,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-28,TITAN,PE,3150,2025-03-27th,0,0.00,102.00,37336,37336,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-27,LT,PE,290,2025-03-27th,0,0.00,20.50,-1740,-1740,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-25,LT,CE,1600,2025-03-27th,0,0.00,67.85,10165,10165,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-24,LT,CE,1300,2026-02-27th,0,0.00,41.25,14550,14550,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-21,M&M,PE,2850,2026-02-27th,0,0.00,188.30,14175,14175,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-20,M&M,CE,2700,2026-02-27th,0,0.00,146.20,11235,11235,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-19,LTIM,CE,1950,2026-02-27th,0,0.00,115.00,15120,11588,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-19,LTIM,CE,5500,2026-02-27th,0,0.00,92.50,-3532,11588,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-18,LTIM,CE,5500,2026-02-27th,0,0.00,207.05,10575,10575,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-17,GLENMARK,CE,1300,2026-02-27th,0,0.00,84.30,19402,19402,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-14,LT,PE,2050,2026-02-27th,0,0.00,168.00,17100,17100,"Taken @ 13 Feb 2026, 4:12 PM",9
2026-02-13,LT,CE,1440,2026-02-27th,0,0.00,72.20,20442,20442,"Taken @ 13 Feb 2026, 4:12 PM",9
