Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-10-14,LT,PE,17000,2025-10-28th,0,0.00,695.35,21000,21000,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-13,LT,PE,6700,2025-10-28th,0,0.00,135.35,29500,29500,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-10,CIPLA,CE,1540,2025-10-28th,0,0.00,50.25,17250,17250,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-09,MCX,CE,8400,2025-10-28th,0,0.00,467.00,21250,21250,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-08,LT,PE,25000,,0,0.00,75.30,17363,17363,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-07,LT,CE,5900,2025-10-28th,0,0.00,282.85,21400,21400,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-06,LT,CE,1040,2025-10-28th,0,0.00,36.80,20576,20576,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-10-01,KOTAKBANK,CE,2040,2025-10-28th,0,0.00,64.05,20400,20400,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-30,LT,CE,210,2025-10-28th,0,0.00,10.55,23063,23063,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-29,HINDPETRO,CE,430,2025-10-28th,0,0.00,24.40,25313,25313,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-26,LAURUSLABS,PE,860,2025-09-30th,0,0.00,29.90,18105,18105,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-25,LT,PE,2440,2025-09-30th,0,0.00,53.45,17488,17488,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-24,LT,PE,1620,2025-09-30th,0,0.00,22.30,19600,19600,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-23,MARUTI,CE,16200,2025-09-30th,0,0.00,138.00,-993,-993,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-22,ADANIGREEN,CE,1060,2025-09-30th,0,0.00,103.05,25200,25200,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-19,LAURUSLABS,CE,920,2025-09-30th,0,0.00,23.50,17000,17000,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-18,LT,CE,580,2025-09-30th,0,0.00,18.25,14000,14000,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-17,MCX,CE,7800,2025-09-30th,0,0.00,294.00,22638,22638,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-16,KOTAKBANK,CE,1980,2025-09-30th,0,0.00,55.50,24100,24100,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-12,LT,CE,1550,2025-09-30th,0,0.00,55.95,23286,23286,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-11,LT,PE,9200,2025-09-30th,0,0.00,251.10,11288,11288,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-10,LT,CE,700,2025-09-30th,0,0.00,21.15,17680,17680,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-09,LT,CE,860,2025-09-30th,0,0.00,47.45,23635,23635,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-08,EICHERMOT,CE,6700,2025-09-30th,0,0.00,191.80,23537,23537,"Taken @ 13 Feb 2026, 4:12 PM",4
2025-09-05,LT,PE,1500,2025-09-30th,0,0.00,44.20,21825,21825,"Taken @ 13 Feb 2026, 4:12 PM",4
