Date,Symbol,Option_Type,Strike,Expiry,Qty,Avg_Price,LTP,P_L,Daily_Total_PnL,Verification_Timestamp,Page
2025-07-25,ADANIENSOL,PE,860,2025-07-31st,0,0.00,48.85,14647,14647,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-24,COFORGE,PE,1760,2025-07-31st,0,0.00,91.00,18000,18000,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-23,COLPAL,PE,2340,2025-07-31st,0,0.00,55.45,11745,11745,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-22,INDUSINDBK,PE,860,2025-07-31st,0,0.00,26.30,-3325,-3325,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-21,UPL,CE,680,2025-07-31st,0,0.00,39.20,16396,16396,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-18,BDL,PE,1700,2025-07-31st,0,0.00,54.50,17387,17387,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-17,SONACOMS,CE,470,2025-07-31st,0,0.00,25.50,17115,17115,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-16,NESTLEIND,CE,2460,2025-07-31st,0,0.00,52.25,15500,15500,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-15,TVSMOTOR,CE,2900,2025-07-31st,0,0.00,57.75,18008,18008,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-14,PEL,CE,1260,2025-07-31st,0,0.00,60.00,24900,24900,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-09,MANKIND,CE,2500,2025-07-31st,0,0.00,85.60,24390,24390,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-08,BSE,PE,2600,2025-07-31st,0,0.00,167.45,22575,22575,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-07,HINDUNILVR,CE,2360,2025-07-31st,0,0.00,74.95,14700,14700,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-03,BOSCHLTD,CE,34000,2025-07-31st,0,0.00,893.85,30335,30335,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-07-02,MANKIND,CE,2300,2025-07-31st,0,0.00,136.45,12544,12544,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-27,ATGL,CE,700,2025-07-31st,0,0.00,24.95,15750,15750,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-26,DALBHARAT,CE,2100,2025-07-31st,0,0.00,133.00,13000,13000,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-25,CYIENT,CE,1300,2025-07-31st,0,0.00,52.40,-2486,-2486,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-24,AMBUJACEM,CE,550,2025-07-31st,0,0.00,25.00,19950,19950,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-23,POLYCAB,CE,6000,2025-06-26th,0,0.00,243.20,16937,16937,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-20,BHARTIARTL,CE,1880,2025-06-26th,0,0.00,58.45,18192,18192,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-19,SBICARD,PE,960,2025-06-26th,0,0.00,24.70,17840,17840,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-18,EICHERMOT,CE,5300,2025-06-26th,0,0.00,127.15,-1829,8421,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-18,EICHERMOT,CE,820,2025-06-26th,0,0.00,31.30,10250,8421,"Taken @ 13 Feb 2026, 4:12 PM",6
2025-06-17,AUROPHARMA,PE,1140,2025-06-26th,0,0.00,46.55,1.78,1,"Taken @ 13 Feb 2026, 4:12 PM",6
